,urls
0,https://www.pagina12.com.ar/diario/cdigital/31-159424-2011-01-01.html
1,https://www.pagina12.com.ar/diario/laventana/26-159483-2011-01-01.html
2,https://www.pagina12.com.ar/diario/laventana/26-159484-2011-01-01.html
3,https://www.pagina12.com.ar/diario/laventana/26-159485-2011-01-01.html
4,https://www.pagina12.com.ar/diario/psicologia/9-159531-2011-01-01.html
5,https://www.pagina12.com.ar/diario/psicologia/9-159532-2011-01-01.html
6,https://www.pagina12.com.ar/diario/elpais/1-159715-2011-01-02.html
7,https://www.pagina12.com.ar/diario/elpais/1-159693-2011-01-02.html
8,https://www.pagina12.com.ar/diario/elpais/1-159720-2011-01-02.html
9,https://www.pagina12.com.ar/diario/elpais/1-159692-2011-01-02.html
10,https://www.pagina12.com.ar/diario/elpais/1-159721-2011-01-02.html
11,https://www.pagina12.com.ar/diario/elpais/1-159722-2011-01-02.html
12,https://www.pagina12.com.ar/diario/elpais/1-159691-2011-01-02.html
13,https://www.pagina12.com.ar/diario/elpais/1-159719-2011-01-02.html
14,https://www.pagina12.com.ar/diario/elpais/1-159709-2011-01-02.html
15,https://www.pagina12.com.ar/diario/economia/2-159700-2011-01-02.html
16,https://www.pagina12.com.ar/diario/economia/2-159701-2011-01-02.html
17,https://www.pagina12.com.ar/diario/sociedad/3-159710-2011-01-02.html
18,https://www.pagina12.com.ar/diario/sociedad/3-159690-2011-01-02.html
19,https://www.pagina12.com.ar/diario/sociedad/3-159711-2011-01-02.html
20,https://www.pagina12.com.ar/diario/sociedad/3-159689-2011-01-02.html
21,https://www.pagina12.com.ar/diario/sociedad/3-159712-2011-01-02.html
22,https://www.pagina12.com.ar/diario/sociedad/3-159713-2011-01-02.html
23,https://www.pagina12.com.ar/diario/sociedad/3-159714-2011-01-02.html
24,https://www.pagina12.com.ar/diario/cdigital/31-159424-2011-01-02.html
25,https://www.pagina12.com.ar/diario/suplementos/espectaculos/3-20390-2011-01-02.html
26,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-20389-2011-01-02.html
27,https://www.pagina12.com.ar/diario/suplementos/espectaculos/3-20387-2011-01-02.html
28,https://www.pagina12.com.ar/diario/suplementos/espectaculos/3-20388-2011-01-02.html
29,https://www.pagina12.com.ar/diario/laventana/26-159483-2011-01-02.html
30,https://www.pagina12.com.ar/diario/laventana/26-159484-2011-01-02.html
31,https://www.pagina12.com.ar/diario/laventana/26-159485-2011-01-02.html
32,https://www.pagina12.com.ar/diario/elmundo/4-159706-2011-01-02.html
33,https://www.pagina12.com.ar/diario/elmundo/4-159707-2011-01-02.html
34,https://www.pagina12.com.ar/diario/elmundo/4-159708-2011-01-02.html
35,https://www.pagina12.com.ar/diario/elmundo/4-159702-2011-01-02.html
36,https://www.pagina12.com.ar/diario/elmundo/4-159703-2011-01-02.html
37,https://www.pagina12.com.ar/diario/elmundo/4-159705-2011-01-02.html
38,https://www.pagina12.com.ar/diario/elmundo/4-159717-2011-01-02.html
39,https://www.pagina12.com.ar/diario/elmundo/4-159718-2011-01-02.html
40,https://www.pagina12.com.ar/diario/elmundo/4-159699-2011-01-02.html
41,https://www.pagina12.com.ar/diario/elmundo/4-159704-2011-01-02.html
42,https://www.pagina12.com.ar/diario/deportes/8-159695-2011-01-02.html
43,https://www.pagina12.com.ar/diario/deportes/8-159694-2011-01-02.html
44,https://www.pagina12.com.ar/diario/deportes/8-159696-2011-01-02.html
45,https://www.pagina12.com.ar/diario/deportes/8-159697-2011-01-02.html
46,https://www.pagina12.com.ar/diario/deportes/8-159698-2011-01-02.html
47,https://www.pagina12.com.ar/diario/psicologia/9-159531-2011-01-02.html
48,https://www.pagina12.com.ar/diario/psicologia/9-159532-2011-01-02.html
49,https://www.pagina12.com.ar/diario/verano12/23-162117-2011-01-02.html
50,https://www.pagina12.com.ar/diario/contratapa/13-159716-2011-01-02.html
51,https://www.pagina12.com.ar/diario/elpais/1-159746-2011-01-03.html
52,https://www.pagina12.com.ar/diario/elpais/1-159741-2011-01-03.html
53,https://www.pagina12.com.ar/diario/elpais/1-159742-2011-01-03.html
54,https://www.pagina12.com.ar/diario/elpais/1-159743-2011-01-03.html
55,https://www.pagina12.com.ar/diario/elpais/1-159749-2011-01-03.html
56,https://www.pagina12.com.ar/diario/elpais/1-159747-2011-01-03.html
57,https://www.pagina12.com.ar/diario/elpais/1-159748-2011-01-03.html
58,https://www.pagina12.com.ar/diario/elpais/1-159752-2011-01-03.html
59,https://www.pagina12.com.ar/diario/elpais/1-159753-2011-01-03.html
60,https://www.pagina12.com.ar/diario/economia/2-159732-2011-01-03.html
61,https://www.pagina12.com.ar/diario/economia/2-159733-2011-01-03.html
62,https://www.pagina12.com.ar/diario/economia/2-159734-2011-01-03.html
63,https://www.pagina12.com.ar/diario/economia/2-159757-2011-01-03.html
64,https://www.pagina12.com.ar/diario/sociedad/3-159744-2011-01-03.html
65,https://www.pagina12.com.ar/diario/sociedad/3-159745-2011-01-03.html
66,https://www.pagina12.com.ar/diario/sociedad/3-159738-2011-01-03.html
67,https://www.pagina12.com.ar/diario/sociedad/3-159739-2011-01-03.html
68,https://www.pagina12.com.ar/diario/sociedad/3-159740-2011-01-03.html
69,https://www.pagina12.com.ar/diario/cdigital/31-159424-2011-01-03.html
70,https://www.pagina12.com.ar/diario/suplementos/espectaculos/10-20393-2011-01-03.html
71,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-20391-2011-01-03.html
72,https://www.pagina12.com.ar/diario/suplementos/espectaculos/13-20394-2011-01-03.html
73,https://www.pagina12.com.ar/diario/suplementos/espectaculos/15-20392-2011-01-03.html
74,https://www.pagina12.com.ar/diario/laventana/26-159483-2011-01-03.html
75,https://www.pagina12.com.ar/diario/laventana/26-159484-2011-01-03.html
76,https://www.pagina12.com.ar/diario/laventana/26-159485-2011-01-03.html
77,https://www.pagina12.com.ar/diario/elmundo/4-159750-2011-01-03.html
78,https://www.pagina12.com.ar/diario/elmundo/4-159751-2011-01-03.html
79,https://www.pagina12.com.ar/diario/elmundo/4-159736-2011-01-03.html
80,https://www.pagina12.com.ar/diario/elmundo/4-159737-2011-01-03.html
81,https://www.pagina12.com.ar/diario/dialogos/21-159735-2011-01-03.html
82,https://www.pagina12.com.ar/diario/psicologia/9-159531-2011-01-03.html
83,https://www.pagina12.com.ar/diario/psicologia/9-159532-2011-01-03.html
84,https://www.pagina12.com.ar/diario/verano12/23-159756-2011-01-03.html
85,https://www.pagina12.com.ar/diario/contratapa/13-159755-2011-01-03.html
86,https://www.pagina12.com.ar/diario/pirulo/30-159754-2011-01-03.html
87,https://www.pagina12.com.ar/diario/elpais/1-159802-2011-01-04.html
88,https://www.pagina12.com.ar/diario/elpais/1-159803-2011-01-04.html
